time_sec,alpha,beta,theta,heart_rate_bpm,lf_hf_ratio,cognitive_state
0,0.483,0.64,0.344,71.5,1.128,Neutral
1,0.524,0.654,0.318,72.1,1.274,Neutral
2,0.549,0.723,0.32,73.2,1.269,Neutral
3,0.572,0.618,0.329,72.8,1.256,Neutral
4,0.542,0.645,0.3,74.2,1.259,Neutral
5,0.608,0.605,0.293,75.1,1.146,Neutral
6,0.562,0.634,0.299,75.6,1.227,Neutral
7,0.598,0.573,0.323,76.7,1.172,Neutral
8,0.646,0.588,0.334,75.8,1.158,Neutral
9,0.628,0.597,0.359,75.8,1.091,Neutral
10,0.607,0.526,0.297,76.3,1.086,Neutral
11,0.69,0.521,0.314,77.0,1.111,Neutral
12,0.667,0.525,0.384,76.2,1.108,Neutral
13,0.632,0.487,0.315,77.8,0.995,Neutral
14,0.66,0.498,0.36,75.8,1.104,Neutral
15,0.629,0.479,0.348,79.6,1.016,Neutral
16,0.644,0.458,0.328,77.3,1.016,Neutral
17,0.657,0.422,0.397,79.8,1.072,Neutral
18,0.646,0.437,0.406,79.8,1.026,Neutral
19,0.627,0.438,0.382,78.1,0.967,Neutral
20,0.876,0.266,0.342,74.3,0.617,Focused
21,0.984,0.342,0.346,73.6,0.528,Focused
22,0.918,0.332,0.387,73.3,0.604,Focused
23,0.951,0.288,0.386,74.4,0.517,Focused
24,0.846,0.236,0.367,72.8,0.506,Focused
25,0.894,0.299,0.363,74.8,0.521,Focused
26,0.876,0.283,0.375,73.5,0.66,Focused
27,0.791,0.239,0.37,72.3,0.468,Focused
28,0.866,0.24,0.424,72.5,0.536,Focused
29,0.754,0.286,0.371,72.0,0.476,Focused
30,0.787,0.303,0.377,73.5,0.42,Focused
31,0.784,0.268,0.379,71.1,0.45,Focused
32,0.802,0.327,0.387,73.0,0.487,Focused
33,0.727,0.334,0.376,69.6,0.398,Focused
34,0.688,0.334,0.388,71.6,0.426,Focused
35,0.786,0.345,0.34,68.7,0.392,Focused
36,0.772,0.34,0.367,69.6,0.462,Focused
37,0.683,0.349,0.404,69.0,0.504,Focused
38,0.713,0.405,0.37,69.8,0.5,Focused
39,0.749,0.463,0.355,69.0,0.52,Focused
40,0.736,0.409,0.389,67.3,0.512,Focused
41,0.732,0.431,0.375,67.7,0.507,Focused
42,0.773,0.44,0.371,65.0,0.521,Focused
43,0.698,0.521,0.408,66.7,0.547,Focused
44,0.566,0.464,0.357,64.9,0.544,Focused
45,0.58,0.459,0.366,65.1,0.517,Focused
46,0.633,0.504,0.363,64.7,0.556,Focused
47,0.594,0.541,0.398,66.6,0.614,Focused
48,0.748,0.592,0.363,62.6,0.557,Focused
49,0.61,0.513,0.347,64.8,0.593,Focused
50,0.6,0.569,0.313,64.4,0.667,Focused
51,0.63,0.564,0.339,62.4,0.576,Focused
52,0.718,0.624,0.342,63.4,0.627,Focused
53,0.694,0.6,0.358,63.4,0.703,Focused
54,0.648,0.515,0.338,62.8,0.701,Focused
55,0.672,0.525,0.28,62.1,0.692,Focused
56,0.716,0.551,0.325,60.8,0.753,Focused
57,0.684,0.511,0.308,61.8,0.637,Focused
58,0.798,0.532,0.318,61.6,0.788,Focused
59,0.766,0.511,0.329,62.9,0.753,Focused
60,0.764,0.538,0.315,61.4,0.784,Focused
61,0.79,0.541,0.325,62.1,0.811,Focused
62,0.861,0.469,0.295,60.0,0.805,Focused
63,0.75,0.51,0.283,61.9,0.872,Focused
64,0.77,0.481,0.291,63.3,0.949,Focused
65,0.889,0.484,0.291,62.6,0.873,Focused
66,0.884,0.37,0.287,64.0,0.869,Focused
67,0.882,0.411,0.266,61.4,0.849,Focused
68,0.862,0.389,0.263,62.9,0.908,Focused
69,0.81,0.328,0.288,65.9,0.909,Focused
70,0.883,0.324,0.29,64.5,0.843,Focused
71,0.994,0.284,0.261,63.5,0.902,Focused
72,0.997,0.345,0.266,63.6,0.855,Focused
73,0.924,0.33,0.232,66.0,0.911,Focused
74,0.879,0.296,0.24,66.8,0.853,Focused
75,1.006,0.251,0.249,67.1,0.848,Focused
76,0.929,0.35,0.235,66.7,0.833,Focused
77,0.989,0.261,0.246,67.0,0.831,Focused
78,0.958,0.293,0.215,67.0,0.747,Focused
79,0.995,0.249,0.247,68.2,0.721,Focused
80,0.942,0.299,0.265,71.1,0.786,Focused
81,0.894,0.272,0.251,69.3,0.739,Focused
82,0.964,0.321,0.25,70.1,0.817,Focused
83,0.89,0.323,0.222,71.0,0.69,Focused
84,0.883,0.286,0.242,70.8,0.765,Focused
85,0.997,0.336,0.241,72.0,0.674,Focused
86,0.92,0.257,0.186,71.9,0.702,Focused
87,0.936,0.332,0.244,73.2,0.628,Focused
88,0.953,0.333,0.24,70.7,0.69,Focused
89,0.833,0.363,0.235,72.6,0.577,Focused
90,0.933,0.365,0.226,73.4,0.644,Focused
91,0.765,0.422,0.233,71.8,0.617,Focused
92,0.848,0.391,0.2,74.0,0.495,Focused
93,0.85,0.408,0.219,74.8,0.527,Focused
94,0.853,0.482,0.249,73.1,0.641,Focused
95,0.812,0.439,0.237,73.8,0.493,Focused
96,0.806,0.525,0.198,73.0,0.445,Focused
97,0.78,0.547,0.247,72.5,0.5,Focused
98,0.727,0.533,0.23,72.1,0.548,Focused
99,0.693,0.481,0.228,74.2,0.571,Focused
100,0.719,0.506,0.192,75.1,0.464,Focused
101,0.73,0.545,0.218,72.4,0.502,Focused
102,0.71,0.616,0.229,72.8,0.482,Focused
103,0.681,0.582,0.244,73.3,0.494,Focused
104,0.614,0.592,0.216,72.3,0.464,Focused
105,0.668,0.551,0.206,73.3,0.427,Focused
106,0.649,0.574,0.23,73.9,0.422,Focused
107,0.66,0.501,0.248,72.4,0.46,Focused
108,0.614,0.533,0.218,71.6,0.586,Focused
109,0.643,0.529,0.241,71.6,0.538,Focused
110,0.67,0.527,0.24,70.8,0.5,Focused
111,0.632,0.531,0.234,70.0,0.508,Focused
112,0.682,0.446,0.258,70.9,0.485,Focused
113,0.617,0.487,0.262,71.3,0.503,Focused
114,0.674,0.51,0.236,67.4,0.569,Focused
115,0.666,0.479,0.289,71.3,0.519,Focused
116,0.707,0.473,0.283,67.9,0.478,Focused
117,0.714,0.502,0.259,67.7,0.66,Focused
118,0.651,0.414,0.283,68.4,0.458,Focused
119,0.628,0.467,0.246,66.7,0.599,Focused
120,0.718,0.361,0.286,67.4,0.631,Focused
121,0.703,0.338,0.262,66.2,0.639,Focused
122,0.745,0.382,0.29,66.2,0.692,Focused
123,0.775,0.292,0.289,63.0,0.662,Focused
124,0.765,0.345,0.229,64.2,0.666,Focused
125,0.782,0.335,0.293,64.2,0.694,Focused
126,0.734,0.293,0.291,65.4,0.719,Focused
127,0.823,0.256,0.314,63.8,0.754,Focused
128,0.798,0.282,0.31,63.7,0.754,Focused
129,0.775,0.217,0.313,64.7,0.805,Focused
130,0.872,0.267,0.286,62.3,0.686,Focused
131,0.903,0.263,0.291,63.0,0.841,Focused
132,0.976,0.277,0.317,62.2,0.877,Focused
133,0.821,0.274,0.347,60.9,0.784,Focused
134,0.957,0.289,0.305,62.3,0.857,Focused
135,0.823,0.333,0.325,63.9,0.761,Focused
136,0.88,0.321,0.324,62.1,0.74,Focused
137,0.918,0.305,0.37,62.5,0.838,Focused
138,0.884,0.361,0.334,61.4,0.985,Focused
139,1.02,0.339,0.335,61.5,0.871,Focused
140,0.951,0.331,0.378,61.8,0.809,Focused
141,0.668,0.385,0.333,66.2,1.224,Neutral
142,0.594,0.455,0.348,67.1,1.23,Neutral
143,0.675,0.49,0.354,67.0,1.235,Neutral
144,0.678,0.517,0.355,66.6,1.134,Neutral
145,0.71,0.523,0.383,67.8,1.218,Neutral
146,0.637,0.518,0.384,64.8,1.151,Neutral
147,0.602,0.532,0.381,66.7,1.141,Neutral
148,0.587,0.569,0.363,68.7,1.214,Neutral
149,0.607,0.557,0.4,68.7,1.172,Neutral
150,0.616,0.618,0.341,69.0,1.098,Neutral
151,0.585,0.604,0.409,69.0,1.118,Neutral
152,0.514,0.645,0.347,70.0,1.081,Neutral
153,0.601,0.655,0.405,71.3,1.0,Neutral
154,0.571,0.67,0.395,70.2,0.974,Neutral
155,0.54,0.666,0.4,69.6,1.027,Neutral
156,0.516,0.639,0.347,69.9,0.912,Neutral
157,0.464,0.609,0.38,72.8,1.187,Neutral
158,0.472,0.682,0.397,71.9,0.92,Neutral
159,0.45,0.664,0.389,72.7,1.036,Neutral
160,0.483,0.67,0.381,72.0,0.92,Neutral
161,0.441,0.676,0.358,72.3,0.817,Neutral
162,0.441,0.561,0.391,73.0,0.963,Neutral
163,0.405,0.654,0.377,74.4,0.902,Neutral
164,0.392,0.605,0.364,75.2,0.927,Neutral
165,0.39,0.628,0.352,77.1,0.806,Neutral
166,0.419,0.557,0.395,75.1,0.832,Neutral
167,0.384,0.515,0.343,75.8,0.85,Neutral
168,0.393,0.571,0.347,73.2,0.872,Neutral
169,0.405,0.505,0.381,77.6,0.774,Neutral
170,0.38,0.493,0.385,77.5,0.8,Neutral
171,0.384,0.504,0.38,77.5,0.811,Neutral
172,0.402,0.482,0.381,78.6,0.75,Neutral
173,0.335,0.462,0.388,77.2,0.787,Neutral
174,0.33,0.437,0.394,78.8,0.718,Neutral
175,0.338,0.463,0.367,76.0,0.796,Neutral
176,0.347,0.426,0.352,78.3,0.759,Neutral
177,0.395,0.401,0.354,78.9,0.789,Neutral
178,0.336,0.344,0.334,80.2,0.783,Neutral
179,0.363,0.368,0.333,77.4,0.838,Neutral
